"id","name","price","category"
"1011","Microsoft Surface Pro","95","Oficina"
"1012","Microsoft Surface Go","570","Oficina"
"1015","Dell UltraSharp 27","398","Oficina"
"1037","HP EliteBook","145","Oficina"
"1052","Dell UltraSharp 27","317","Oficina"
"1060","Logitech MX Keys","358","Oficina"
"1061","Dell UltraSharp 27","453","Oficina"
"1071","Microsoft Surface Pro","516","Oficina"
"1088","Logitech MX Master 3","86","Oficina"
"1089","Microsoft Surface Pro","379","Oficina"
"1096","HP EliteBook","37","Oficina"
"1097","HP EliteBook","188","Oficina"
